"","id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","work_with_offices_clients_abroad","role_in_organisation...Selected.Choice","role_in_organisation...Other..please.specify....Text","gender","year_of_birth","region","country","ethnicity","ethnicity_other","languages_spoken","countries_abroad_count","countries_abroad_oc","organisational_affiliation_years","workplace_diversity","pql_stimulating_challenges_imp","pql_flexible_imp","pql_weaknesses_imp","pql_manage_emotions_imp","pql_ease_differing_views_imp","pql_stimulating_challenges_exp","pql_flexible_exp","pql_weaknesses_exp","pql_manage_emotions_exp","pql_ease_differing_views_exp","cui_understand_culture_communication_imp","cui_noticing_ways_imp","cui_mixing_socially_imp","cui_learn_foreign_phrases_imp","cui_understan_values_beliefs_imp","cui_understand_culture_communication_exp","cui_noticing_ways_exp","cui_mixing_socially_exp","cui_learn_foreign_phrases_exp","cui_understan_values_beliefs_exp","trl_trust_imp","trl_respect_viewpoints_imp","trl_feeling_part_of_team_imp","trl_support_each_other_imp","trl_know_personally_imp","trl_trust_exp","trl_respect_viewpoints_exp","trl_feeling_part_of_team_exp","trl_support_each_other_exp","trl_know_personally_exp","com_understand_each_other_imp","com_adjusting_language_imp","com_everyone_contributes_imp","com_say_what_you_want_imp","com_listen_to_others_imp","com_clarify_issues_imp","com_account_for_different_language_levels_imp","com_understand_each_other_exp","com_adjusting_language_exp","com_everyone_contributes_exp","com_say_what_you_want_exp","com_listen_to_others_exp","com_clarify_issues_exp","com_account_for_different_language_levels_exp","lmg_handle_opinions_imp","lmg_negative_feedback_imp","lmg_personal_circumstances_imp","lmg_varying_management_style_imp","lmg_motivating_staff_imp","lmg_handle_opinions_eoh","lmg_negative_feedback_eoh","lmg_personal_circumstances_eoh","lmg_varying_management_style_eoh","lmg_motivating_staff_eoh","tmg_clear_goals_imp","tmg_divide_responsibilities_fairly_imp","tmg_peoples_strengths_imp","tmg_ethical_standards_imp","tmg_making_decisions_imp","tmg_keeping_time_imp","tmg_elicit_ideas_imp","tmg_clear_goals_eoh","tmg_divide_responsibilities_fairly_eoh","tmg_peoples_strengths_eoh","tmg_ethical_standards_eoh","tmg_making_decisions_eoh","tmg_keeping_time_eoh","tmg_elicit_ideas_eoh","lao_manage_change_imp","lao_persuade_leaders_new_ways_imp","lao_local_contextual_factors_imp","lao_recruiting_people_imp","lao_combine_different_viewpoints_imp","lao_manage_change_eoh","lao_persuade_leaders_new_ways_eoh","lao_local_contextual_factors_eoh","lao_recruiting_people_eoh","lao_combine_different_viewpoints_eoh","oc","opp","Q_TotalDuration","Q_CHL","isNew","V","rid","RISN","test2","gc","term","manager","missing"
"308",308,"17/01/2019 20:44","17/01/2019 20:49",0,"98.165.230.231",100,307,1,"17/01/2019 20:49","R_3FPzl03URClVp3K",NA,NA,NA,NA,33.3092041,-111.9197998,"anonymous","EN","consent_academic,consent_teaching",3,"Middle Management (no subordinates/line-reports)",NA,"Female","1993","Americas","US","White",NA,"1",2,"Spain
","4 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,5,5,6,4,4,4,4,3,4,5,4,5,5,5,3,3,4,4,4,5,5,4,5,5,3,4,2,2,2,5,5,4,3,6,4,4,4,4,4,3,4,4,4,5,5,5,5,5,4,4,4,4,4,5,6,6,5,6,5,5,4,4,5,4,4,4,4,6,5,5,5,5,4,4,5,3,4,NA,"Qual2514-0709Const2",307,"anonymous",NA,"H","5c40e915-4dcb-4ba4-a87d-f9a322bb88dd",NA,NA,1,NA,"yes",0
"309",309,"17/01/2019 20:47","17/01/2019 20:50",0,"24.111.239.157",100,125,1,"17/01/2019 20:50","R_XiCO69pZcDKJQyZ",NA,NA,NA,NA,48.22909546,-101.2985001,"anonymous","EN","consent_academic,consent_teaching",5,"Apprenticeship/Trainee/Junior employee",NA,"Male","1988","Americas","US","White",NA,"1",0,"no comment","2 years","diversity_education",4,4,4,3,6,6,3,3,5,2,4,3,5,1,2,5,4,4,3,6,2,3,6,6,2,3,1,1,5,2,3,3,6,3,3,4,2,4,4,6,2,4,4,3,5,3,5,5,3,5,3,4,5,2,6,6,3,6,5,4,5,4,6,5,3,1,2,3,6,2,3,4,6,4,5,6,2,NA,"no comment","Qual2514-0709Const2",125,"anonymous",NA,"H","5c40e9f4-9ee9-483e-a149-b51b2cf96403",NA,NA,4,"speeder","no",0
"311",311,"17/01/2019 20:42","17/01/2019 20:50",0,"64.191.7.153",100,474,1,"17/01/2019 20:50","R_UgQhjtkxoCB0yAh",NA,NA,NA,NA,42.77479553,-92.40399933,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1988","Americas","US","White",NA,"2",0,NA,"less than 1 year","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",5,5,5,6,5,4,4,3,2,4,5,5,5,4,5,4,4,3,2,4,4,5,5,5,4,4,3,4,5,5,5,4,5,5,5,5,5,4,2,4,3,4,5,4,5,4,4,5,5,3,3,3,3,4,5,4,5,5,5,4,4,4,5,5,5,4,5,4,5,3,4,5,5,4,5,4,2,3,NA,"Qual2514-0709Const2",474,"anonymous",NA,"H","5c40e8b3-0982-4455-8f5c-41c47959a3bb",NA,NA,1,NA,"no",0
"312",312,"17/01/2019 20:43","17/01/2019 20:51",0,"98.100.134.154",100,453,1,"17/01/2019 20:51","R_ptvbwTHbwx5UtZT",NA,NA,NA,NA,43.04879761,-88.00150299,"anonymous","EN","consent_academic,consent_teaching",6,"Middle Management (no subordinates/line-reports)",NA,"Female","1987","Americas","US","White",NA,"2",1,"France","1 year","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,4,6,6,5,5,6,5,6,6,5,6,4,6,6,5,6,4,6,6,6,6,6,5,4,3,3,3,4,6,5,5,6,6,5,4,4,5,3,4,6,3,4,6,6,6,5,6,4,4,6,4,4,6,6,5,6,4,6,5,3,5,3,4,3,6,4,4,5,5,6,5,4,5,5,6,4,"I have social anxiety, so have learned early how to work extra hard at managing my emotions and reading other people's. It helps build empathy and not taking things personally.","Qual2514-0709Const2",453,"anonymous",NA,"H","5c40e8fd-974d-478d-bf65-03e62c59eed8",NA,NA,1,NA,"yes",0
"313",313,"17/01/2019 20:48","17/01/2019 20:51",0,"67.60.130.137",100,183,1,"17/01/2019 20:51","R_XzVJuGAoKQSeNb3",NA,NA,NA,NA,33.64349365,-96.60749817,"anonymous","EN","consent_academic,consent_teaching",3,"Middle Management (no subordinates/line-reports)",NA,"Male","1971","Americas","US","White",NA,"1",0,NA,"16 years","diversity_culture,diversity_language",6,5,6,5,6,6,5,6,4,6,6,4,5,6,4,6,4,4,6,5,4,6,5,6,6,4,6,6,6,4,3,4,6,6,5,6,6,3,6,6,3,5,6,5,5,6,5,4,6,5,6,5,4,6,6,5,6,5,6,4,6,6,6,6,6,5,5,6,5,6,5,6,6,6,6,6,5,3,NA,"Qual2514-0709Const2",183,"anonymous",NA,"H","5c40ea10-0598-48d8-a6ea-40107f74e52e",NA,NA,1,NA,"yes",0
"315",315,"17/01/2019 20:49","17/01/2019 20:54",0,"100.19.13.213",100,341,1,"17/01/2019 20:54","R_sXrPFLSA2xHQCqd",NA,NA,NA,NA,39.9447937,-75.22879791,"anonymous","EN","consent_academic,consent_teaching",3,"Entrepreneur",NA,"Male","1971","Americas","US","Black",NA,"1",1,NA,"less than 1 year","diversity_education",6,5,3,5,5,4,6,3,6,6,6,5,6,5,6,6,5,6,4,6,6,6,5,5,3,4,5,5,5,6,6,4,6,5,6,5,4,6,5,4,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,6,5,5,5,4,5,6,6,6,6,5,6,6,NA,"Qual2514-0709Const2",341,"anonymous",NA,"H","5c40ea44-8422-4380-af47-7d32e16d4097",NA,NA,1,NA,"yes",0
"316",316,"17/01/2019 20:51","17/01/2019 20:55",0,"79.234.87.63",100,224,1,"17/01/2019 20:55","R_1cYQy0H6p2Yp9QI",NA,NA,NA,NA,50.05830383,8.691802979,"anonymous","EN","consent_academic,consent_teaching",6,"Top Management (with responsibilities for one or more managers)",NA,"Male","1963","Europe","Germany","White",NA,"3",2,"usa spain","more than 20 years","diversity_culture,diversity_language,diversity_part_of_organisation,diversity_experience",3,5,4,5,4,3,5,4,5,4,4,2,3,3,5,4,2,3,2,4,4,6,4,4,2,3,6,5,2,2,4,4,5,6,5,6,4,2,3,2,6,6,6,4,5,4,4,5,4,4,3,3,3,5,5,3,4,3,6,6,5,4,3,3,3,6,6,4,5,3,4,4,4,4,5,5,4,4,NA,"Qual2514-0709Const2",224,"anonymous",NA,"H","5c40e776-bb27-4025-87ab-0e4d32308aae",NA,NA,1,NA,"yes",0
"317",317,"17/01/2019 20:43","17/01/2019 20:55",0,"109.250.157.246",100,743,1,"17/01/2019 20:55","R_2BnSSLBbvDv6qHn",NA,NA,NA,NA,51.24980164,7.123901367,"anonymous","EN","consent_academic,consent_teaching",6,"Middle (with subordinates/line-reports)",NA,"Male","before 1960","Europe","Germany","White",NA,"2",2,"U.K.  ;  France","18 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,3,4,5,5,5,4,4,5,5,6,5,6,6,3,5,4,5,5,5,5,6,6,4,5,5,6,6,4,5,5,6,5,5,5,5,5,5,4,4,4,5,4,6,6,6,5,6,6,6,4,5,5,5,5,6,6,6,6,6,5,5,4,4,5,5,6,5,6,NA,6,6,6,5,NA,5,5,NA,"Qual2514-0709Const2",743,"anonymous",NA,"H","5c40e8a4-2ecd-43cd-8e6a-04a7000a2a90",NA,NA,1,NA,"yes",0
"320",320,"17/01/2019 20:51","17/01/2019 20:57",0,"66.195.51.178",100,339,1,"17/01/2019 20:57","R_1oGauTq49prc3V1",NA,NA,NA,NA,44.95500183,-93.38289642,"anonymous","EN","consent_academic,consent_teaching",4,"Top Management (with responsibilities for one or more managers)",NA,"Male","1981","Americas","US","White",NA,"1",1,NA,"14 years","diversity_culture",5,5,2,2,5,5,4,4,2,4,3,3,5,1,4,4,3,4,2,3,4,6,4,4,5,3,5,5,4,4,3,2,5,4,6,4,2,2,2,3,4,4,3,2,4,4,4,5,5,4,4,3,4,3,5,2,5,6,4,6,4,4,3,3,5,4,3,3,5,5,5,5,4,3,3,4,3,4,NA,"Qual2514-0709Const2",339,"anonymous",NA,"H","5c40eae4-7c81-406e-81bb-ad83e7ee302a",NA,NA,1,NA,"yes",0
"321",321,"17/01/2019 20:51","17/01/2019 20:58",0,"73.30.155.27",100,391,1,"17/01/2019 20:58","R_1kUpAV0VjqILfvJ",NA,NA,NA,NA,40.03379822,-75.17310333,"anonymous","EN","consent_academic,consent_teaching",2,"Middle (with subordinates/line-reports)",NA,"Female","1991","Americas","US","White",NA,"1",1,NA,"1 year","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,6,6,6,4,5,5,4,5,5,5,5,4,6,4,5,4,4,5,6,6,6,6,5,6,6,5,6,4,6,6,5,6,6,6,5,4,4,3,2,3,4,4,6,4,5,6,5,3,2,4,3,4,6,6,6,6,6,6,6,4,5,5,5,5,4,5,4,4,5,2,5,3,4,2,2,5,"Understanding where people come from is an incredibly important factor in working with them and managing
","Qual2514-0709Const2",391,"anonymous",NA,"H","5c40eacd-5f41-4d0f-9749-85f4d9098a8d",NA,NA,1,NA,"yes",0
"323",323,"17/01/2019 20:52","17/01/2019 20:59",0,"40.129.204.122",100,390,1,"17/01/2019 20:59","R_1BXSLILNIYGK5dQ",NA,NA,NA,NA,39.73779297,-75.54969788,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1979","Americas","US","White",NA,"1",0,NA,"1 year","diversity_education,diversity_part_of_organisation",5,6,6,6,6,4,5,6,4,5,6,6,6,6,6,3,5,4,3,6,6,6,5,6,3,3,5,5,5,5,5,4,5,4,6,3,2,4,5,4,4,4,4,4,5,5,5,5,6,6,6,6,2,2,5,6,6,6,5,6,5,6,4,3,6,6,6,6,5,4,5,3,5,1,5,5,1,5,NA,"Qual2514-0709Const2",390,"anonymous",NA,"H","5c40eb22-6c04-4598-9e17-78c4b58b0804",NA,NA,1,NA,"no",0
"324",324,"17/01/2019 20:54","17/01/2019 21:00",0,"70.125.225.219",100,364,1,"17/01/2019 21:00","R_w7grq12pPMmbxPX",NA,NA,NA,NA,32.6710968,-97.4056015,"anonymous","EN","consent_academic,consent_teaching",4,"Top Management (with responsibilities for one or more managers)",NA,"Female","1983","Americas","US","White",NA,"2",2,"Mexico","7 years","diversity_language",6,5,5,5,6,4,5,5,5,4,5,5,6,5,5,4,4,5,5,4,5,4,5,5,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,4,6,6,5,5,5,5,4,5,5,4,4,5,4,4,5,4,5,5,4,4,5,5,5,4,5,6,5,5,4,5,5,6,5,4,"very great, thanks","Qual2514-0709Const2",364,"anonymous",NA,"H","5c40eb61-ad71-437b-a0c4-b54a1dbdf18c",NA,NA,1,NA,"yes",0
"325",325,"17/01/2019 20:52","17/01/2019 21:00",0,"184.55.1.103",100,520,1,"17/01/2019 21:00","R_1k1FowT7bzLMRjy",NA,NA,NA,NA,43.75259399,-87.97789764,"anonymous","EN","consent_academic,consent_teaching",4,"Middle (with subordinates/line-reports)",NA,"Female","1968","Americas","US","White",NA,"2",1,NA,"5 years","diversity_culture,diversity_education,diversity_part_of_organisation",5,5,5,5,4,5,5,4,4,5,4,5,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,5,5,4,4,4,5,4,5,4,5,5,4,5,5,6,6,5,5,4,5,6,5,4,4,5,4,5,6,5,4,6,4,4,4,4,5,4,5,4,4,5,"I have had enjoyable work/life experiences in relation to diverse situations. ","Qual2514-0709Const2",520,"anonymous",NA,"H","5c40eaf4-da6b-4176-a1b1-7040d96d7799",NA,NA,1,NA,"yes",0
"326",326,"17/01/2019 20:56","17/01/2019 21:01",0,"73.232.247.180",100,300,1,"17/01/2019 21:01","R_2BhXRE8Clm61ceG",NA,NA,NA,NA,29.39700317,-94.92030334,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1989","Americas","US","White",NA,"1",1,"Greece","1 year","diversity_culture",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"There is nothing else that i have to share","Qual2514-0709Const2",300,"anonymous",NA,"H","5c40ebf0-95b9-4d17-9354-c844958c20cc",NA,NA,1,NA,"no",0
"327",327,"17/01/2019 20:44","17/01/2019 21:02",0,"73.79.44.240",100,1075,1,"17/01/2019 21:02","R_1hKMaf6AMkaobay",NA,NA,NA,NA,40.40289307,-80.09149933,"anonymous","EN","consent_academic,consent_teaching",5,"Top Management (with responsibilities for one or more managers)",NA,"Male","1984","Americas","US","White",NA,"1",2,"I was in Canada, but in business matters","10 years","diversity_language,diversity_part_of_organisation",6,6,5,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,5,4,6,6,5,5,5,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,NA,"Qual2514-0709Const2",1075,"anonymous",NA,"H","5c40e90a-387b-4250-add7-9118861702bc",NA,NA,1,NA,"yes",0
"328",328,"17/01/2019 20:55","17/01/2019 21:02",0,"38.132.116.181",100,423,1,"17/01/2019 21:02","R_3PFsConeyBT47RF",NA,NA,NA,NA,40.74839783,-73.99669647,"anonymous","EN","consent_academic,consent_teaching",6,"Middle (with subordinates/line-reports)",NA,"Male","1986","Americas","US","White",NA,"3",0,NA,"7 years","diversity_education,diversity_part_of_organisation",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,1,6,6,6,6,6,6,6,6,1,1,1,NA,"Qual2514-0709Const2",423,"anonymous",NA,"H","5c40ebb9-de59-43d0-868f-fb545db7388f",NA,NA,1,NA,"yes",1
"329",329,"17/01/2019 20:57","17/01/2019 21:02",0,"71.244.96.137",100,339,1,"17/01/2019 21:02","R_3Mg7Ri0pVb1SYUs",NA,NA,NA,NA,39.94410706,-75.58820343,"anonymous","EN","consent_academic,consent_teaching",4,"Top Management (with responsibilities for one or more managers)",NA,"Male","1985","Americas","US","White",NA,"1",1,"Canada","3 years","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,4,5,5,6,6,3,5,5,6,5,6,4,6,4,3,4,3,4,6,5,6,6,5,4,4,6,4,6,6,5,5,5,6,5,5,6,4,4,5,4,4,3,6,5,6,5,6,4,3,4,4,5,5,5,5,6,6,6,5,3,3,3,4,4,4,3,6,4,5,6,6,4,3,4,4,4,NA,"Qual2514-0709Const2",339,"anonymous",NA,"H","5c40ec1a-dcea-44f4-a3c4-d13ba4e75be5",NA,NA,1,NA,"yes",0
"330",330,"17/01/2019 20:57","17/01/2019 21:03",0,"109.90.233.67",100,398,1,"17/01/2019 21:03","R_31RaAYPNpBjdeu8",NA,NA,NA,NA,50.77870178,6.108505249,"anonymous","EN","consent_academic,consent_teaching",4,"Middle Management (no subordinates/line-reports)",NA,"Male","1965","Europe","Germany","White",NA,"2",2,"USA","1 year","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,5,5,5,4,5,5,5,5,6,5,5,5,5,5,5,4,5,5,6,6,6,6,5,5,5,5,6,5,6,5,5,6,6,5,5,5,4,4,5,5,5,5,5,5,5,5,6,4,4,4,4,5,6,6,6,6,6,6,5,5,5,5,5,5,6,5,6,5,6,6,5,5,5,5,4,5,NA,"Qual2514-0709Const2",398,"anonymous",NA,"H","5c40ec04-49f2-4461-ac56-d56c0aa3fe9a",NA,NA,1,NA,"yes",0
"332",332,"17/01/2019 21:02","17/01/2019 21:08",0,"77.191.46.73",100,393,1,"17/01/2019 21:08","R_3nk4T7wEnO4LBFL",NA,NA,NA,NA,52.46240234,13.48170471,"anonymous","EN","consent_academic,consent_teaching",2,"Top Management (with responsibilities for one or more managers)",NA,"Male","before 1960","Europe","Germany","White",NA,"2",2,"great britain","more than 20 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,"Qual2514-0709Const2",393,"anonymous",NA,"H","5c40ed40-0d2d-4746-9271-35f76a92424b",NA,NA,1,NA,"yes",0
"333",333,"17/01/2019 21:10","17/01/2019 21:15",0,"80.143.244.17",100,267,1,"17/01/2019 21:15","R_3ExNkbKN4yXgFWH",NA,NA,NA,NA,50.20779419,6.420196533,"anonymous","EN","consent_academic,consent_teaching",2,"Middle Management (no subordinates/line-reports)",NA,"Male","1982","Europe","Germany","White",NA,"2",1,NA,"6 years","diversity_education",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,"Qual2514-0709Const2",267,"anonymous",NA,"H","5c40ef56-e159-4244-9690-7c260eeaa6f0",NA,NA,1,NA,"yes",0
"334",334,"17/01/2019 21:02","17/01/2019 21:16",0,"91.50.64.181",100,824,1,"17/01/2019 21:16","R_6FmX3LIK79s2yat",NA,NA,NA,NA,49.31669617,7.133300781,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1980","Europe","Germany","White",NA,"2",1,"Germany ","5 years","diversity_part_of_organisation,diversity_experience",3,3,2,2,4,5,5,2,5,2,5,5,5,5,4,1,3,2,1,2,3,5,2,2,5,3,4,2,2,2,4,3,4,6,5,5,2,3,2,2,6,3,5,1,3,3,1,3,1,5,5,1,4,2,4,4,4,5,3,2,2,4,3,3,5,4,2,2,1,4,4,1,2,NA,4,4,NA,2,"I like stones :)","Qual2514-0709Const2",824,"anonymous",NA,"H","5c40ed79-0454-4a33-aab2-53d609284ee0",NA,NA,1,NA,"no",0
"338",338,"17/01/2019 21:23","17/01/2019 21:27",0,"87.189.253.239",100,245,1,"17/01/2019 21:27","R_WBacpildmTNi22Z",NA,NA,NA,NA,51.95239258,10.56370544,"anonymous","EN","consent_academic,consent_teaching",4,"Top Management (with responsibilities for one or more managers)",NA,"Male","1965","Europe","Germany","White",NA,"2",2,"usa","more than 20 years","diversity_culture,diversity_language,diversity_education",5,6,6,6,6,5,6,5,6,6,6,6,5,5,6,6,6,5,5,6,6,6,6,5,6,6,6,NA,5,6,6,5,6,6,6,5,6,6,5,6,6,6,5,6,5,5,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,NA,"Qual2514-0709Const2",245,"anonymous",NA,"H","5c40f230-13df-426c-974b-d499063cecac",NA,NA,1,NA,"yes",1
"339",339,"17/01/2019 21:23","17/01/2019 21:27",0,"84.63.147.9",100,229,1,"17/01/2019 21:27","R_2Bbdkf8OF5y5HIS",NA,NA,NA,NA,50.93139648,6.952606201,"anonymous","EN","consent_academic,consent_teaching",5,"Middle Management (no subordinates/line-reports)",NA,"Female","1993","Europe","Germany","White",NA,"4",2,"Canada ","5 years","diversity_culture,diversity_language,diversity_experience",4,5,4,6,3,3,4,4,3,4,4,3,4,5,3,5,4,5,4,4,5,3,4,3,5,3,3,5,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,3,5,5,4,4,5,5,4,5,4,5,4,5,6,6,3,4,5,4,5,5,5,4,5,3,3,4,5,NA,"Qual2514-0709Const2",229,"anonymous",NA,"H","5c40f23a-4a3d-47dd-b3d3-81eaf916100e",NA,NA,1,NA,"yes",0
"340",340,"17/01/2019 21:24","17/01/2019 21:28",0,"2.247.251.54",100,238,1,"17/01/2019 21:28","R_3jUaAk6qzKlaECR",NA,NA,NA,NA,51.37750244,12.3598938,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1999","Europe","Germany","White",NA,"2",1,NA,"3 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,5,5,5,5,5,3,2,5,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,4,3,4,3,4,5,4,5,4,3,4,2,3,3,5,2,3,3,4,4,4,3,2,5,3,4,3,3,5,3,3,4,3,4,4,5,5,5,3,2,5,3,4,3,2,5,4,4,4,3,5,2,4,NA,"Qual2514-0709Const2",238,"anonymous",NA,"H","5c40f2a1-88bd-49a4-8023-3cba748fcd5e",NA,NA,1,NA,"no",0
"341",341,"17/01/2019 21:32","17/01/2019 21:37",0,"95.222.238.235",100,284,1,"17/01/2019 21:37","R_1kHzlHrGLrkakwt",NA,NA,NA,NA,51.26989746,7.183807373,"anonymous","EN","consent_academic,consent_teaching",6,"Skilled work/Office work",NA,"Male","1983","Europe","Germany","White",NA,"3",4,NA,"6 years","diversity_part_of_organisation",4,5,5,5,6,5,6,4,5,6,4,4,5,6,3,6,6,6,6,6,5,6,3,4,NA,4,3,6,5,2,6,5,5,4,4,5,6,4,3,5,6,3,5,3,5,4,5,3,5,4,4,5,6,3,5,4,5,5,6,4,5,4,5,4,4,3,3,2,4,5,6,3,NA,4,3,2,5,1,"Super","Qual2514-0709Const2",284,"anonymous",NA,"H","5c40f482-3d88-43c4-8329-a984f98d7adc",NA,NA,1,NA,"no",1
"342",342,"17/01/2019 21:32","17/01/2019 21:46",0,"93.236.172.110",100,807,1,"17/01/2019 21:46","R_2zI0jMug6ons1fG",NA,NA,NA,NA,48.7171936,8.968399048,"anonymous","EN","consent_academic,consent_teaching",2,"Entrepreneur",NA,"Female","1979","Europe","Germany","White",NA,"2",3,"USA
New Zealand
Australia","9 years","diversity_culture,diversity_language,diversity_education,diversity_experience",6,6,6,5,2,6,6,6,3,6,6,6,4,6,6,5,2,6,4,6,6,5,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,3,6,3,6,3,3,3,6,6,6,6,6,3,5,3,6,4,6,5,6,6,5,5,6,2,2,6,6,2,2,6,6,5,5,6,5,1,1,3,2,5,"I find it interesting how clear we sometimes see our own and other people`s weakness, even the way of improvment seems so clear but steping on the way is sometimes so difficult.","Qual2514-0709Const2",807,"anonymous",NA,"H","5c40f47a-74ef-423c-8fa0-52e0ec72ae6d",NA,NA,1,NA,"yes",0
"343",343,"17/01/2019 21:52","17/01/2019 21:57",0,"89.204.153.52",100,280,1,"17/01/2019 21:57","R_2salMBAPbkLPhMm",NA,NA,NA,NA,50.95109558,6.92640686,"anonymous","EN","consent_academic,consent_teaching",3,"Middle Management (no subordinates/line-reports)",NA,"Male","1962","Europe","Germany","White",NA,"2",2,"Uk","more than 20 years","diversity_language,diversity_part_of_organisation",6,6,6,6,6,5,6,5,6,6,5,6,6,5,6,4,5,5,5,5,5,5,6,6,5,4,5,5,5,5,6,5,6,6,6,6,6,5,5,5,6,6,6,5,6,6,6,6,6,5,6,6,5,6,5,6,6,6,6,6,6,4,5,5,5,5,5,6,6,6,6,5,5,5,6,5,5,4,NA,"Qual2514-0709Const2",280,"anonymous",NA,"H","5c40f90a-6933-4bde-b490-1686d038496e",NA,NA,1,NA,"yes",0
"344",344,"17/01/2019 21:57","17/01/2019 22:00",0,"46.223.254.1",100,166,1,"17/01/2019 22:00","R_qDvxwJZ5BIrDy0x",NA,NA,NA,NA,48.84089661,10.09309387,"anonymous","EN","consent_academic,consent_teaching",3,"Entrepreneur",NA,"Male","1972","Europe","Germany","White",NA,"more than 6",1,"ka","12 years","diversity_education",3,4,3,4,4,3,5,4,5,3,3,4,5,5,3,4,3,4,3,3,4,3,2,4,5,3,5,4,3,4,4,3,3,5,5,5,4,3,5,5,3,NA,3,4,2,5,5,4,3,3,5,3,4,4,5,4,4,5,4,3,3,4,3,4,3,5,5,5,4,3,2,3,5,3,4,4,5,4,"ka","Qual2514-0709Const2",166,"anonymous",NA,"H","5c40fa35-f349-43f9-ab21-daae05f98dd0",NA,NA,4,"speeder","yes",1
"345",345,"17/01/2019 22:00","17/01/2019 22:10",0,"80.143.63.196",100,591,1,"17/01/2019 22:10","R_6YhddCprGNor0bL",NA,NA,NA,NA,47.85499573,12.12319946,"anonymous","EN","consent_academic,consent_teaching",2,"Middle (with subordinates/line-reports)",NA,"Female","1981","Europe","Germany","White",NA,"3",2,"Gerät Britain","2 years","diversity_culture,diversity_language,diversity_education,diversity_experience",6,5,5,4,4,5,5,5,4,4,5,5,5,6,5,5,4,3,3,4,6,5,6,5,4,4,4,5,4,3,3,5,5,6,5,5,4,3,4,4,4,5,4,4,5,4,5,5,5,3,2,4,5,3,6,5,5,5,5,5,5,4,4,4,5,2,5,4,5,5,5,5,5,2,1,3,2,2,NA,"Qual2514-0709Const2",591,"anonymous",NA,"H","5c40fae6-518e-4768-ba09-95da1326561e",NA,NA,1,NA,"yes",0
